Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
그옛날손짜장,중식당,431,67,서울 강남구 역삼로19길 5 2층,4.32,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""친절해요""; ""재료가 신선해요"""
호돌이반점,중식당,386,156,서울 강남구 강남대로94길 91 2층,4.69,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""친절해요""; ""양이 많아요"""
도야짬뽕 역삼직영점,중식당,548,282,서울 강남구 강남대로94길 87 진남빌딩 2층,4.68,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""재료가 신선해요""; ""매장이 넓어요"""
동명닭집 논현직영점,한식,243,382,"서울 강남구 강남대로116길 8 1층, 2층",N/A,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요"""
천안문,중식당,910,146,서울 서초구 사평대로55길 42 2층,4.37,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""친절해요""; ""재료가 신선해요"""
라이라이 역삼동,중식당,351,20,서울 강남구 도곡로3길 25,4.33,"""음식이 맛있어요""; ""가성비가 좋아요""; ""친절해요""; ""혼밥하기 좋아요""; ""양이 많아요"""
영인성 중국음식점,중식당,291,63,서울 강남구 봉은사로7길 9 1층,4.18,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""혼밥하기 좋아요""; ""재료가 신선해요"""
서정원양꼬치샤브샤브,양꼬치,118,37,서울 강남구 도곡로13길 19 상가동 107호,N/A,"""음식이 맛있어요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""단체모임 하기 좋아요""; ""고기 질이 좋아요"""
대홍장,중식당,20,16,서울 강남구 강남대로94길 75,4.1,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""친절해요""; ""특별한 날 가기 좋아요"""
신대흥장,중식당,325,10,서울 강남구 강남대로94길 75,4.45,"""음식이 맛있어요""; ""친절해요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""양이 많아요"""
홍반점,중식당,195,15,서울 강남구 역삼로14길 19 1층,4.6,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""양이 많아요"""
웨이웨이,중식당,106,122,서울 강남구 테헤란로 142 아크플레이스 어반스커트 1층,4.27,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""양이 많아요""; ""특별한 메뉴가 있어요"""
청평숯불갈비,"육류,고기요리",709,514,서울 강남구 봉은사로1길 16,4.35,"""음식이 맛있어요""; ""친절해요""; ""매장이 넓어요""; ""단체모임 하기 좋아요""; ""양이 많아요"""
홍콩가,중식당,272,39,서울 서초구 사평대로55길 20,4.35,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""단체모임 하기 좋아요""; ""재료가 신선해요"""
명성양꼬치,양꼬치,25,8,서울 강남구 테헤란로20길 25 1층,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""단체모임 하기 좋아요"""
융선양고기,양꼬치,154,106,서울 강남구 테헤란로21길 6 1층 101호,N/A,"""음식이 맛있어요""; ""고기 질이 좋아요""; ""친절해요""; ""단체모임 하기 좋아요""; ""양이 많아요"""
짜짜루,중식당,104,4,서울 강남구 강남대로 310 유니온센터오피스텔 지하1층 35호,4.26,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요"""
일일향 논현2호점,중식당,1171,1287,서울 강남구 봉은사로 167,4.23,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""매장이 넓어요""; ""특별한 메뉴가 있어요"""
백년교동짬뽕 강남본점,중식당,8,25,서울 강남구 도곡로1길 14 삼일프라자 지하1층,N/A,
가연,중식당,583,215,서울 강남구 테헤란로26길 12 지하1층,4.55,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""단체모임 하기 좋아요""; ""매장이 청결해요"""
손오공마라탕 서초점,중식당,443,48,서울 서초구 강남대로 305 지하1층 B111호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""매장이 청결해요""; ""혼밥하기 좋아요"""
백리향,중식당,8,N/A,서울 강남구 도곡로1길 14,N/A,
더차이나,중식당,377,41,서울 강남구 테헤란로21길 8 2층,4.12,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""혼밥하기 좋아요""; ""가성비가 좋아요"""
희래등,중식당,798,44,서울 강남구 역삼로20길 6,4.13,"""음식이 맛있어요""; ""양이 많아요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""친절해요"""
리첸,중식당,608,31,서울 강남구 강남대로62길 13 2층,4.34,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""재료가 신선해요""; ""매장이 넓어요"""
희래등,중식당,751,73,서울 서초구 서초대로62길 13 1층(서초동),N/A,"""음식이 맛있어요""; ""친절해요""; ""양이 많아요""; ""재료가 신선해요""; ""혼밥하기 좋아요"""
나누다 키친,중식당,168,N/A,서울 강남구 역삼로 164,4.31,
박사부's 역삼점,중식당,312,122,서울 강남구 논현로85길 5-5 2층,4.53,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""가성비가 좋아요""; ""친절해요"""
풍광쟈창차이 중식뷔페,중식당,150,24,서울 강남구 테헤란로25길 20 . 지하1층 제비103호,N/A,"""음식이 맛있어요""; ""가성비가 좋아요""; ""양이 많아요""; ""혼밥하기 좋아요""; ""재료가 신선해요"""
상해루,중식당,431,710,서울 강남구 강남대로 512 지하1층 상해루,N/A,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""재료가 신선해요""; ""단체모임 하기 좋아요"""
영동반점 논현점,요리주점,371,315,서울 강남구 강남대로122길 31 루이스빌딩 1층,N/A,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""기본 안주가 좋아요""; ""인테리어가 멋져요"""
뽕스타 퓨전짬뽕전문점,중식당,4,N/A,서울 강남구 테헤란로25길 9-10,N/A,
코스모왕양꼬치 논현본점,양꼬치,331,287,서울 강남구 봉은사로1길 34,4.57,"""음식이 맛있어요""; ""친절해요""; ""가성비가 좋아요""; ""매장이 넓어요""; ""양이 많아요"""
도비,중식당,62,19,서울 강남구 역삼로20길 22 1층 104호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""친절해요""; ""특별한 메뉴가 있어요"""
도원익스프레스 역삼점,중식당,1,1,서울 강남구 테헤란로26길 14 지하 2층 103호 도원 익스프레스 역삼점,N/A,
Chai797 역삼GFC점,중식당,423,208,서울 강남구 테헤란로 152 강남파이낸스센터 B1,4.36,"""음식이 맛있어요""; ""매장이 넓어요""; ""친절해요""; ""재료가 신선해요""; ""매장이 청결해요"""
난랑,중식당,1255,277,서울 서초구 서운로 32 우진빌딩 1층,4.43,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""양이 많아요""; ""단체모임 하기 좋아요"""
낯선천장 논현본점,요리주점,185,172,서울 강남구 강남대로122길 5 3층,N/A,"""음식이 맛있어요""; ""단체모임 하기 좋아요""; ""인테리어가 멋져요""; ""친절해요""; ""가성비가 좋아요"""
차이니즈다이닝시앙,중식당,1,N/A,서울 강남구 논현로105길 13,N/A,
공리짬뽕 논현점,중식당,596,82,서울 강남구 논현로115길 10,4.28,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""재료가 신선해요""; ""친절해요"""
