Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
왓쇼이켄,일본식라면,1371,654,서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 B1 120호,4.54,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""가성비가 좋아요"""
올바른스시 강남역점,"초밥,롤",2005,815,서울 강남구 봉은사로4길 40 1층,4.61,"""음식이 맛있어요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""친절해요""; ""혼밥하기 좋아요"""
우리동네스시신조 강남점,"초밥,롤",1091,689,서울 서초구 서초대로78길 32 3층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""친절해요""; ""혼밥하기 좋아요"""
고메스시,"초밥,롤",1408,771,서울 강남구 테헤란로1길 26 2층 고메스시,N/A,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요""; ""혼밥하기 좋아요"""
이자카야나무 4호점,이자카야,618,153,서울 서초구 서초대로78길 26,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""단체모임 하기 좋아요""; ""친절해요""; ""인테리어가 멋져요"""
멘츠루 강남점,일본식라면,484,28,서울 강남구 강남대로102길 13 2층,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""매장이 넓어요"""
이자카야 오레노유메 강남역점,이자카야,635,157,"서울 강남구 역삼로3길 17-4 2, 3층",N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""술이 다양해요""; ""인테리어가 멋져요""; ""친절해요"""
갓포 이케맨이자카야,이자카야,687,319,서울 서초구 서초대로78길 50 3층,4.59,"""음식이 맛있어요""; ""대화하기 좋아요""; ""단체모임 하기 좋아요""; ""친절해요""; ""룸이 잘 되어있어요"""
멘노아지 강남본점,일본식라면,4335,371,서울 강남구 강남대로94길 27 지상1층,N/A,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""인테리어가 멋져요""; ""재료가 신선해요""; ""친절해요"""
도모다찌,이자카야,120,40,서울 강남구 테헤란로1길 28 지하1층 도모다찌,N/A,"""음식이 맛있어요""; ""기본 안주가 좋아요""; ""친절해요""; ""술이 다양해요""; ""대화하기 좋아요"""
고쿠텐 강남역점,일식당,1121,470,서울 강남구 테헤란로4길 32 1층 고쿠텐,4.39,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""친절해요""; ""재료가 신선해요""; ""특별한 메뉴가 있어요"""
토라 강남점,이자카야,368,1719,서울 서초구 서초대로77길 37 202호,N/A,"""음식이 맛있어요""; ""가성비가 좋아요""; ""술이 다양해요""; ""친절해요""; ""매장이 청결해요"""
사가라멘 강남역점,일본식라면,1256,709,서울 서초구 서초대로77길 9 1층,4.34,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""친절해요""; ""가성비가 좋아요""; ""재료가 신선해요"""
돈비고고 강남본점,돈가스,4416,405,서울 강남구 강남대로106길 7 2층,N/A,"""음식이 맛있어요""; ""양이 많아요""; ""가성비가 좋아요""; ""혼밥하기 좋아요""; ""재료가 신선해요"""
하나우동,"우동,소바",612,389,서울 서초구 서초대로78길 38 호정빌딩,4.35,"""음식이 맛있어요""; ""가성비가 좋아요""; ""양이 많아요""; ""친절해요""; ""혼밥하기 좋아요"""
베트남이랑,베트남음식,2263,1781,서울 서초구 서초대로77길 15 대경빌딩 지하 1층,4.44,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""가성비가 좋아요""; ""양이 많아요""; ""매장이 넓어요"""
이자카야 공감 강남역점,이자카야,326,723,서울 서초구 강남대로65길 7 피렌체빌딩2층,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""술이 다양해요""; ""친절해요""; ""단체모임 하기 좋아요"""
오마카세 오사이초밥 강남역점,"초밥,롤",1662,11151,서울 강남구 테헤란로1길 28-9 5층,N/A,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요""; ""매장이 청결해요"""
야키토리 나루토 강남,이자카야,438,452,서울 강남구 봉은사로6길 38 1층,N/A,"""음식이 맛있어요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""인테리어가 멋져요"""
심 이자카야 강남역점,이자카야,133,845,서울 서초구 서초대로77길 9 강남누드죤빌딩 지하1층,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""친절해요""; ""술이 다양해요""; ""인테리어가 멋져요"""
스시마이우 강남CGV점,"초밥,롤",3922,736,서울 강남구 강남대로102길 14 장연빌딩,4.54,"""음식이 맛있어요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""가성비가 좋아요""; ""친절해요"""
진오봉참치,일식당,260,632,"서울 강남구 테헤란로7길 22 지하2층 204호, 205호",4.37,"""음식이 맛있어요""; ""친절해요""; ""재료가 신선해요""; ""단체모임 하기 좋아요""; ""양이 많아요"""
오제제 강남,일식당,579,911,서울 강남구 강남대로 358 2층 201호,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""특별한 메뉴가 있어요""; ""친절해요""; ""재료가 신선해요"""
삼미미 스시 앤 이자카야,일식당,114,235,서울 강남구 역삼로7길 17 101호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""가성비가 좋아요"""
압구정수산시장 강남역점,이자카야,216,256,서울 강남구 강남대로98길 20 지상1층,N/A,"""음식이 맛있어요""; ""술이 다양해요""; ""인테리어가 멋져요""; ""특별한 메뉴가 있어요""; ""기본 안주가 좋아요"""
스아게 강남점,카레,299,211,서울 강남구 봉은사로4길 29 지상2층,N/A,"""음식이 맛있어요""; ""특별한 메뉴가 있어요""; ""재료가 신선해요""; ""친절해요""; ""매장이 청결해요"""
도키메이테,일식당,372,297,서울 강남구 테헤란로4길 6 지하1층 B120호,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""친절해요""; ""가성비가 좋아요""; ""특별한 날 가기 좋아요"""
한성돈까스,돈가스,956,265,서울 서초구 서초대로78길 36 강남지웰타워 103호,4.21,"""음식이 맛있어요""; ""양이 많아요""; ""혼밥하기 좋아요""; ""친절해요""; ""재료가 신선해요"""
이자카야나무 강남역CGV점,이자카야,665,170,서울 강남구 강남대로 442 2층,N/A,"""음식이 맛있어요""; ""대화하기 좋아요""; ""인테리어가 멋져요""; ""친절해요""; ""매장이 청결해요"""
채선당 샤브보트 강남역점,샤브샤브,275,279,서울 강남구 강남대로 378 . 지상1층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""혼밥하기 좋아요""; ""가성비가 좋아요""; ""양이 많아요"""
오므토토마토 강남본점,오므라이스,1124,328,서울 강남구 테헤란로4길 29 1층 오므토토마토 강남본점,4.77,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""매장이 청결해요""; ""양이 많아요""; ""친절해요"""
편편집 강남역점,샤브샤브,1041,1929,서울 서초구 서초대로77길 31 2층,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""양이 많아요""; ""가성비가 좋아요""; ""매장이 넓어요"""
동경규동 강남점,덮밥,1891,248,서울 강남구 테헤란로4길 25,N/A,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""가성비가 좋아요""; ""친절해요""; ""매장이 청결해요"""
아비꼬 강남지웰타워점,카레,1186,182,서울 서초구 서초대로78길 36 강남지웰타워 101호,4.33,"""음식이 맛있어요""; ""혼밥하기 좋아요""; ""친절해요""; ""양이 많아요""; ""재료가 신선해요"""
멘노아지 강남2호점,일본식라면,493,120,서울 강남구 테헤란로4길 38 태영빌딩 1층,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""혼밥하기 좋아요""; ""재료가 신선해요""; ""양이 많아요"""
백소정 강남역신분당선점,일식당,7451,190,서울 서초구 강남대로53길 7 1층 107호,N/A,"""음식이 맛있어요""; ""매장이 청결해요""; ""친절해요""; ""혼밥하기 좋아요""; ""재료가 신선해요"""
샤브로21 강남,샤브샤브,912,81,서울 강남구 강남대로102길 13-5,N/A,"""음식이 맛있어요""; ""재료가 신선해요""; ""가성비가 좋아요""; ""혼밥하기 좋아요""; ""인테리어가 멋져요"""
청담돈가스,돈가스,1436,336,"서울 강남구 테헤란로4길 46 쌍용플래티넘밸류 B123,124호",4.33,"""음식이 맛있어요""; ""가성비가 좋아요""; ""양이 많아요""; ""혼밥하기 좋아요""; ""친절해요"""
시선 강남점,이자카야,185,4042,서울 서초구 서초대로77길 35 2층 201호,N/A,"""음식이 맛있어요""; ""인테리어가 멋져요""; ""기본 안주가 좋아요""; ""술이 다양해요""; ""대화하기 좋아요"""
탄,돈가스,513,102,서울 강남구 테헤란로2길 27 패스트파이브빌딩 2층 201호,4.32,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""혼밥하기 좋아요""; ""가성비가 좋아요"""
선향정샤브샤브 서초점,샤브샤브,663,231,서울 서초구 강남대로55길 24 풍림아이원매직 2층,4.15,"""음식이 맛있어요""; ""가성비가 좋아요""; ""재료가 신선해요""; ""친절해요""; ""건강한 맛이에요"""
연돈볼카츠 튀김덮밥도시락 강남CGV점,돈가스,173,101,서울 강남구 강남대로 438 213호,N/A,"""가성비가 좋아요""; ""음식이 맛있어요""; ""혼밥하기 좋아요""; ""양이 많아요""; ""특별한 메뉴가 있어요"""
모모사라,일식당,343,596,서울 강남구 강남대로84길 26 2층,4.27,"""음식이 맛있어요""; ""양이 많아요""; ""친절해요""; ""특별한 메뉴가 있어요""; ""혼밥하기 좋아요"""
