Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
벌툰 엔틱 강남역점,만화방,641,225,서울 강남구 강남대로98길 16 3층,N/A,"""책 읽기 쾌적해요""; ""친절해요""; ""책 종류가 다양해요""; ""놀거리가 많아요""; ""음식이 맛있어요"""
놀숲 강남역점,만화방,481,234,서울 강남구 강남대로98길 17 1층 놀숲 강남역점,4.6,"""책 읽기 쾌적해요""; ""친절해요""; ""책 종류가 다양해요""; ""매장이 청결해요""; ""음식이 맛있어요"""
아지트 만화멀티카페,만화방,84,44,서울 강남구 테헤란로1길 42 4층,N/A,"""놀거리가 많아요""; ""책 읽기 쾌적해요""; ""친절해요""; ""음식이 맛있어요""; ""가성비가 좋아요"""
벌툰 파리지앵 강남본점,만화방,146,75,서울 서초구 강남대로65길 7 3층 만화카페 벌툰,N/A,"""책 읽기 쾌적해요""; ""매장이 청결해요""; ""놀거리가 많아요""; ""음식이 맛있어요""; ""친절해요"""
놀숲 강남교보타워점,만화방,214,86,서울 서초구 서초대로77길 58 트라이랜드빌딩 B1,4.27,"""책 읽기 쾌적해요""; ""친절해요""; ""가성비가 좋아요""; ""책 종류가 다양해요""; ""음식이 맛있어요"""
놀숲 교대점,만화방,130,51,서울 서초구 사임당로 46 서초제일빌딩 2층,4.46,"""책 읽기 쾌적해요""; ""친절해요""; ""매장이 청결해요""; ""놀거리가 많아요""; ""책 종류가 다양해요"""
