Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
역삼문화공원,"도시,테마공원",50,36,서울 강남구 테헤란로7길 21 국립어린이청소년도서관,N/A,"""뷰가 좋아요""; ""주차하기 편해요""; ""산책로가 잘 되어있어요""; ""관리가 잘 되어있어요""; ""볼거리가 많아요"""
역삼무궁화공원,근린공원,6,8,서울 강남구 역삼로 117,N/A,
명달공원,근린공원,8,51,서울 서초구 서운로21길 14,N/A,
용허리근린공원,근린공원,2,60,서울 서초구 서초동 1324-1,N/A,
은행나무공원,근린공원,1,10,서울 강남구 역삼동 611,N/A,
무궁화공원,근린공원,N/A,4,서울 강남구 논현동 205-7,N/A,
역삼소나무공원,근린공원,5,7,서울 강남구 역삼동 836-21,N/A,
역삼개나리공원,근린공원,1,37,서울 강남구 논현로79길 24,N/A,
