Store Name,Category,Visitor Review Counts,Blog Review Counts,Address,Rating,Review Texts
슬리크 스튜디오 마카쥬,공방,29,58,서울 강남구 도곡로1길 14 삼일프라자 오피스텔 824호,N/A,
감정선프로젝트 강남점,공방,31,2,서울 강남구 강남대로114길 25 지하1층 1~2호,N/A,
케이트의작업실,공방,N/A,1,서울 서초구 강남대로 305 지하1층 케이트의작업실,N/A,
세라민화화실,공방,N/A,1,서울 서초구 사임당로 137 1동,N/A,
꽃집의 은혜,"꽃집,꽃배달",135,134,서울 서초구 주흥길 17 101호,4.85,
우럭화실,공방,11,N/A,서울 강남구 도곡로1길 10 프린스타워 3F,4.65,
오늘의낭만,공방,N/A,N/A,서울 서초구 강남대로 305 서초현대렉시온 311호,N/A,
까미야,공방,N/A,1,서울 강남구 강남대로118길 61 3층 301호,N/A,
온도르 스튜디오,공방,120,133,서울 강남구 논현로75길 16 이호빌딩 2층 202호,N/A,
리앙세라믹스튜디오,공방,2,6,서울 서초구 서초대로 355 3층,N/A,
꼬북스튜디오,공방,N/A,1,서울 강남구 논현로63길 69 6층,N/A,
포포에,공방,662,133,서울 강남구 논현로111길 14 203호,N/A,
플로레시엔떼,공방,19,9,서울 강남구 봉은사로24길 9 105호,N/A,
아로마젠타,공방,1,137,서울 서초구 효령로 428 402호,N/A,
라샤인,공방,2,3,서울 서초구 사평대로55길 61 1층,N/A,
마르베야 도자기공방,공방,83,67,서울 강남구 논현로85길 5-5 4층,N/A,
조연경 섬유공예 공방,공방,N/A,N/A,서울 서초구 서초중앙로24길 55 1층 B128호,N/A,
해피파티투유,"이벤트,파티",4,N/A,서울 강남구 학동로26길 76,N/A,
당코 공방,공방,1,N/A,서울 강남구 테헤란로25길 20 1319호,N/A,
미음세라믹스튜디오,공방,7,39,서울 강남구 논현로63길 16 219호,N/A,
32Page Design LAB,공방,1,5,서울 강남구 논현로67길 11 B1층,N/A,
순수플라워,"꽃집,꽃배달",74,479,서울 강남구 논현로 412 1층,4.64,
세라듀,공방,1283,1918,서울 강남구 논현로 332 계유빌딩 b1,4.84,
Sally Studio,공방,1,134,서울 강남구 논현로63길 16 강남서해그랑블 218호,N/A,
달쿠킹스튜디오,공방,N/A,N/A,서울 강남구 논현로63길 16 역삼종합시장 더블루,N/A,
보다세라믹스튜디오,공방,13,3,서울 강남구 강남대로124길 26 1층 101호,N/A,
